question,references,corpus_id,corpus_id_path
"What achievements does Castro Coleman, also known as Mr. Sipp, have in his music career?","[{""content"": ""Singer songwriter and guitarist Castro Coleman, a.k.a. Mr. Sipp, is from McComb, Mississsippi. He started playing the guitar at age six. He has won several awards for his Malaco recordings and was featured in the James Brown movie Get On Up"", ""start_index"": 79433, ""end_index"": 79673}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What musical influences do the Iguanas incorporate into their performances?,"[{""content"": ""The Iguanas, 5/4, FDD: 2:55p: With Tex-Mex rock \u2019n\u2019 roll as their base, the Iguanas can swing freely into jazz, country, garage and Caribbean music"", ""start_index"": 50741, ""end_index"": 50888}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
Who is the trumpet-playing leader of the Tijuana Brass who makes his Jazz Fest debut?,"[{""content"": ""Herb Alpert, the trumpet-playing leader of the Tijuana Brass and co-founder of the enormously successful A&M Records, makes his Jazz Fest debut"", ""start_index"": 49256, ""end_index"": 49399}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
Who are the current members of New Orleans Guitar Masters?,"[{""content"": ""The band consists of guitarists Cranston Clements currently performing with Cyril Neville\u2019s Swamp Band, music teacher at Loyola University John Rankin, and Jimmy Robinson of Woodenhead"", ""start_index"": 84657, ""end_index"": 84841}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What was the notable connection between Joe Louis Walker and his 2014 album release?,"[{""content"": ""Electric blues guitarist and singer Walker blends elements of the psychedelic music scene from his hometown of San Francisco and a bit of gospel into his prolific body of work. His 2014 release, Hellfire, features an eclectic range of tracks including a pair of Springsteen and Stones covers"", ""start_index"": 55715, ""end_index"": 56006}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What musical genre does Da Knockas Brass Band perform?,"[{""content"": ""Da Knockas Brass Band, 4/30, PAR, 2:30p: Formed in 2014, this eight-piece act plays contemporary brass band music, traditional New Orleans jazz and go-go funk"", ""start_index"": 26372, ""end_index"": 26530}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What significant achievements are noted for Dr. John?,"[{""content"": ""Dr. John has received six Grammy Awards and has been inducted into the Rock and Roll Hall of Fame"", ""start_index"": 34191, ""end_index"": 34288}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What significant achievement is associated with saxophonist Boney James as mentioned in the text?,"[{""content"": ""Saxophonist and songwriter Boney James has sold over 3 million albums, making him one of the most commercially successful artists in contemporary jazz"", ""start_index"": 14835, ""end_index"": 14985}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What genres influence Daymé Arocena's music?,"[{""content"": ""Daym\u00e9 Arocena of Cuba, 5/7, BLU, 11:15a, CUB, 1:50p: Singer composer and choir director, Daym\u00e9 Arocena, approaches jazz, soul and classical influences with an innate sense of rhythm. Born and raised in Havana, Arocena\u2019s music draws inspiration from the Caribbean island\u2019s different rhythms and styles from Guantanamo\u2019s fast-paced chang\u00fc\u00ed, to guaguanc\u00f3 and \u201970s-style ballads"", ""start_index"": 28891, ""end_index"": 29265}]",openwebtext-10k_0,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_0.txt
What is the purpose of a game theory optimal strategy in poker according to the text?,"[{""content"": ""It's important to realize that a game theory optimal strategy doesn't try to maximize +EV against a random opponent. It's trying to maximize EV against an opponent who is also playing perfectly"", ""start_index"": 16621, ""end_index"": 16814}, {""content"": ""A game theory optimal strategy is first and foremost a defensive strategy, designed not to lose"", ""start_index"": 16889, ""end_index"": 16984}, {""content"": ""However, an optimal strategy will win against players who are using non-optimal strategies"", ""start_index"": 16986, ""end_index"": 17076}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
What are the effective pot odds for Alice's 4-bet bluffs?,"[{""content"": ""When Alice 4-bets to 27bb, she is risking 23.5bb (27bb minus he 3.5bb raise) more to win a 17bb pot (1.5bb from the blinds + Alice's 3.5bb raise + Bob's 12bb 3-bet). The effective pot odds for Alice's 4-bet bluffs are 17 : 23.5"", ""start_index"": 20193, ""end_index"": 20420}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
What is the percentage of Alice's opening range she needs to 4-bet to make Bob's bluffs break even?,"[{""content"": ""Alice's optimal 4-betting strategy is therefore to 4-bet 30% of her opening range, and she will 4"", ""start_index"": 19755, ""end_index"": 19852}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
What is the effective percentage of bluff hands in Alice's 4-bet range?,"[{""content"": ""The percentage of value hands is then 34/186 =18%, while the effective percentage of bluff hands is 0.15 x (186 - 34)/186 =12%"", ""start_index"": 33995, ""end_index"": 34121}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
What style of play does the Hero typically use at small stakes?,"[{""content"": ""A value-based style with little bluffing works well at small stakes because our opponents use more or less the same strategy, and many of them execute it poorly"", ""start_index"": 523, ""end_index"": 683}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
What adjustments might Bob consider against an opponent who neither 4-bet bluffs nor defends a wide range?,"[{""content"": ""For example, of the raiser never 4-bet bluffs and only 4-bets a tight value range like {QQ+, AK}, we can go bananas with our 3-bet bluffs. We might decide to double the bluff frequency from 20% to 40% for our list of 152 bluff candidate combos. Now we have 20 value combos, and effectively 0.40 x 152 =61 bluff combos"", ""start_index"": 51939, ""end_index"": 52256}, {""content"": ""This means 20/(20 + 61) =25% of our 3-bets are for value, and 75% are bluffs. Our first adjustment to exploit this particular opponent is therefore to lower the optimal value/bluff ratio from the optimal 40/ to the more exploitative 25/75"", ""start_index"": 52258, ""end_index"": 52496}, {""content"": ""Then we can also drop 5-bet-bluffing against this tight player, as discussed previously. The simplest adjustment is to keep 3-betting our 5-bet bluffing hands A5s/A4s, but we move them from the value range down to the 3-bet bluff range, and fold them to a 4-bet"", ""start_index"": 52499, ""end_index"": 52760}]",openwebtext-10k_1,assets/corpora_public/2024-11-30_01-47-25/openwebtext-10k_1.txt
